Power(kVA),Subscrition_price,Price _per_kWh
3,91.92,0.1452
6,110.52,0.1452
9,130.32,0.1469
12,150.96,0.1469
15,170.88,0.1469
18,191.52,0.1469
24,237.72,0.1469
30,283.80,0.1469
36,320.28,0.1469
