Power(kVA),Subscription_price,Peak_Price_per_kWh,Off_Peak_Price_per_kWh
6,123.60,0.1580,0.1230
9,151.32,0.1580,0.1230
12,177.24,0.1580,0.1230
15,201.36,0.1580,0.1230
18,223.68,0.1580,0.1230
24,274.68,0.1580,0.1230
30,299.52,0.1580,0.1230
36,337.56,0.1580,0.1230
